"box_file","home_away","minutes","fgm","fga","3pm","3pa","ftm","fta","dreb","oreb","pf","stl","tover","blk"
"191798.html","home","200","17","47","3","17","19","31","8","31","21","3","17","3"
"191799.html","away","200","26","51","6","13","24","31","7","24","20","4","15","7"
"191799.html","home","200","27","66","3","15","18","26","14","19","23","7","8","4"
"191800.html","away","200","30","67","10","24","3","11","9","29","18","4","14","2"
"191800.html","home","200","28","66","6","22","9","17","13","27","15","8","12","3"
"191801.html","away","200","22","52","7","16","14","18","9","21","13","4","6","1"
"191801.html","home","200","21","50","8","26","12","19","10","20","15","2","7","6"
"191802.html","away","200","29","59","6","23","7","13","10","21","12","3","8","2"
"191802.html","home","200","24","51","5","14","9","14","4","22","17","3","10","3"
"191803.html","away","200","24","50","10","23","10","19","6","24","17","7","12","3"
"191803.html","home","200","23","56","6","19","12","16","9","21","21","6","12","1"
"191804.html","away","200","28","54","10","22","6","9","11","21","20","6","15","2"
"191804.html","home","200","19","46","1","12","17","25","5","15","14","7","15","4"
"191805.html","away","200","30","55","6","20","14","18","6","21","12","5","9","4"
"191805.html","home","200","33","68","8","22","5","8","11","18","17","6","10","3"
"191806.html","away","200","25","45","7","13","8","17","2","20","22","4","11","0"
"191806.html","home","200","24","50","7","24","16","24","9","22","15","4","8","1"
"191807.html","away","200","19","52","8","27","16","21","6","17","14","8","11","3"
"191807.html","home","200","30","56","10","28","5","11","7","28","17","7","12","2"
"191808.html","away","200","28","56","6","17","18","24","8","19","27","3","11","3"
"191808.html","home","200","26","57","5","22","28","40","11","22","18","6","6","2"
"191809.html","away","225","36","66","6","12","10","15","5","26","20","5","9","5"
"191809.html","home","225","29","59","8","22","21","27","5","25","15","4","13","2"
"191810.html","away","200","23","55","8","20","12","21","13","18","22","6","13","1"
"191810.html","home","200","23","43","7","16","17","19","4","19","20","5","14","8"
"191811.html","away","200","24","51","10","25","10","14","4","26","16","2","11","3"
"191811.html","home","200","25","60","2","14","8","10","8","21","15","8","9","1"
"191812.html","away","200","27","50","8","19","20","28","5","23","26","4","15","2"
"191812.html","home","200","31","60","9","15","21","25","6","19","29","6","10","0"
"191813.html","away","225","23","65","6","23","4","4","11","26","18","8","20","5"
"191813.html","home","225","21","57","6","19","16","23","11","27","10","13","18","9"
"191814.html","away","200","25","55","6","20","16","19","8","17","17","7","14","2"
"191814.html","home","200","32","62","10","21","9","16","16","20","16","8","14","1"
"191815.html","away","200","24","53","7","20","11","15","9","11","20","6","15","1"
"191815.html","home","200","29","52","3","14","15","16","10","22","19","3","15","2"
"191816.html","away","200","22","58","7","25","15","22","5","25","15","4","10","2"
"191816.html","home","200","29","58","14","24","12","17","2","30","14","4","8","4"
"191819.html","away","200","16","53","1","9","16","20","13","19","18","8","14","3"
"191819.html","home","200","23","50","5","15","14","20","9","20","17","5","14","3"
"191820.html","away","200","21","53","3","14","14","19","11","17","22","9","15","4"
"191820.html","home","200","24","56","8","23","21","28","15","23","22","5","14","6"
"191821.html","away","200","23","52","5","26","9","13","6","26","17","8","17","4"
"191821.html","home","200","24","56","7","19","6","18","11","21","10","9","15","2"
"191822.html","away","200","22","53","3","20","14","21","7","22","17","7","18","7"
"191822.html","home","200","25","55","8","21","14","16","6","22","14","13","14","3"
"191823.html","away","200","31","57","8","19","8","12","7","27","26","6","11","5"
"191823.html","home","200","25","55","7","22","20","29","8","22","15","7","10","3"
"191824.html","away","200","27","50","9","15","2","5","3","22","25","5","18","4"
"191824.html","home","200","21","53","6","19","19","26","9","19","11","7","12","4"
"191825.html","away","200","18","46","5","19","21","24","7","24","16","5","19","2"
"191825.html","home","200","23","57","8","20","19","19","8","22","23","12","9","2"
"191826.html","away","200","26","60","10","28","11","12","7","33","12","6","7","3"
"191826.html","home","200","19","59","8","34","6","10","8","23","14","4","12","3"
"191827.html","away","200","26","56","10","26","13","15","4","25","16","6","10","2"
"191827.html","home","200","22","61","8","22","14","24","14","25","17","4","11","1"
"191829.html","away","225","23","53","11","29","20","26","5","25","14","3","13","6"
"191829.html","home","225","29","66","8","26","7","11","8","22","21","5","9","2"
"191830.html","away","200","32","56","3","11","15","18","6","21","17","8","9","2"
"191830.html","home","200","23","44","8","16","17","24","2","20","19","6","16","1"
"191831.html","away","200","21","63","6","23","20","24","11","28","18","7","7","4"
"191831.html","home","200","24","64","11","28","18","23","11","29","17","3","9","6"
"191832.html","away","200","28","63","5","16","11","15","13","21","18","5","15","3"
"191832.html","home","200","26","58","6","20","18","19","9","22","16","8","14","8"
"191833.html","away","225","31","66","12","32","16","20","7","24","18","6","7","2"
"191833.html","home","225","30","74","18","44","13","20","15","26","16","2","9","5"
"191834.html","away","225","30","67","13","30","17","22","13","21","24","7","14","2"
"191834.html","home","225","35","59","9","20","18","29","5","22","20","10","11","5"
"191835.html","away","200","29","56","9","21","15","22","6","32","22","11","17","4"
"191835.html","home","200","16","55","2","23","17","23","8","22","18","7","19","4"
"191836.html","away","200","24","58","4","13","8","13","9","29","13","10","15","7"
"191836.html","home","200","19","54","5","22","3","9","8","22","13","10","15","10"
"191837.html","away","200","18","49","7","24","16","27","4","31","11","6","7","3"
"191837.html","home","200","20","51","8","24","5","8","2","30","24","4","11","1"
"191838.html","away","200","24","51","9","24","12","18","8","25","16","2","11","1"
"191838.html","home","200","24","53","7","17","13","21","7","20","17","9","10","3"
"191839.html","away","200","15","57","4","20","12","16","8","23","19","7","16","1"
"191839.html","home","200","26","54","10","25","15","16","5","32","14","7","15","4"
"191841.html","away","200","35","62","8","20","10","13","10","26","16","9","12","3"
"191841.html","home","200","18","61","3","17","18","22","15","18","16","4","15","3"
"191842.html","away","200","21","47","6","20","17","25","7","21","17","6","17","5"
"191842.html","home","200","28","62","8","22","20","29","13","21","19","10","11","1"
"191843.html","away","200","19","38","2","11","18","38","5","27","24","7","13","3"
"191843.html","home","200","18","52","6","29","17","21","6","22","28","2","11","2"
"191844.html","away","200","26","53","11","22","20","29","6","26","18","2","10","0"
"191844.html","home","200","30","62","9","22","16","24","7","22","20","5","6","1"
"191845.html","away","200","26","43","13","26","16","34","4","23","26","4","12","1"
"191845.html","home","200","20","50","8","24","22","34","11","20","28","4","13","3"
"191846.html","away","200","26","57","8","23","8","11","9","18","21","6","8","3"
"191846.html","home","200","27","54","6","19","17","27","10","22","14","5","8","3"
"191847.html","away","200","30","51","9","22","13","21","6","27","16","10","16","8"
"191847.html","home","200","24","67","15","44","12","12","12","18","17","8","13","1"
"191848.html","away","200","19","66","7","30","19","29","13","23","24","8","19","4"
"191848.html","home","200","27","61","8","23","19","28","10","30","21","9","13","6"
"191849.html","away","200","25","46","5","10","22","25","5","25","21","6","12","3"
"191849.html","home","200","19","55","7","26","19","24","9","16","20","5","8","6"
"191850.html","away","200","15","55","7","27","17","23","9","26","20","7","20","6"
"191850.html","home","200","23","59","8","23","20","27","10","22","23","13","13","8"
"191851.html","away","200","18","54","5","23","10","11","7","23","10","5","12","4"
"191851.html","home","200","26","55","7","16","9","10","3","26","13","8","9","2"
"191852.html","away","200","25","52","8","16","16","24","8","19","14","6","10","4"
"191852.html","home","200","22","51","7","21","11","14","7","20","22","2","14","5"
"191853.html","away","200","24","50","6","16","10","15","8","23","25","1","22","5"
"191853.html","home","200","24","57","5","16","20","27","12","17","16","12","8","4"
"191854.html","away","200","25","51","5","11","10","16","8","24","23","3","13","2"
"191854.html","home","200","23","47","5","17","20","27","4","23","16","8","6","4"
"191855.html","away","200","24","76","6","15","5","8","18","17","18","11","10","1"
"191855.html","home","200","22","49","7","15","18","21","8","29","13","4","17","5"
"191856.html","away","200","23","61","5","19","11","18","8","25","17","7","11","2"
"191856.html","home","200","24","61","10","25","14","18","9","31","15","7","11","7"
"191857.html","away","200","19","56","5","19","19","25","9","30","16","6","11","2"
"191857.html","home","200","20","54","6","27","13","18","3","28","21","6","11","8"
"191858.html","away","200","24","64","6","27","6","13","11","26","23","8","13","4"
"191858.html","home","200","23","53","9","25","12","22","7","30","13","4","13","6"
"191859.html","away","200","26","59","4","9","20","23","10","25","19","3","7","4"
"191859.html","home","200","27","60","7","22","8","12","6","21","21","3","8","2"
"191860.html","away","200","28","63","7","21","15","16","9","23","22","5","12","2"
"191860.html","home","200","25","57","6","23","24","31","8","21","14","7","11","5"
"191861.html","away","200","24","58","9","21","13","15","10","31","17","5","14","7"
"191861.html","home","200","22","61","9","27","11","14","5","23","18","5","7","1"
"191862.html","away","200","30","61","10","21","13","17","12","26","19","3","10","5"
"191862.html","home","200","24","55","14","34","18","22","4","17","14","2","6","8"
"191863.html","away","200","18","49","6","24","12","21","12","27","14","4","15","2"
"191863.html","home","200","23","57","5","16","6","11","8","24","16","5","8","1"
"191864.html","away","200","24","49","7","19","15","20","7","29","23","5","18","3"
"191864.html","home","200","23","57","8","22","14","23","6","17","20","9","12","4"
"191865.html","away","200","25","70","6","31","4","5","10","23","14","11","11","3"
"191865.html","home","200","27","61","4","23","7","15","13","33","12","10","18","4"
"191866.html","away","225","24","62","3","14","28","39","9","23","32","8","13","3"
"191866.html","home","225","23","61","3","16","34","44","16","34","27","8","15","2"
"191867.html","away","200","25","58","8","21","17","24","15","26","23","4","13","4"
"191867.html","home","200","26","54","8","24","13","22","4","21","23","5","11","4"
"191868.html","away","200","29","67","8","24","11","13","8","24","20","3","6","3"
"191868.html","home","200","29","58","6","17","19","26","8","28","15","3","10","4"
"191869.html","away","200","26","49","11","22","10","14","3","16","22","3","8","6"
"191869.html","home","200","25","49","9","22","21","24","7","22","11","3","5","1"
"191870.html","away","200","17","67","2","23","21","30","8","21","15","11","11","5"
"191870.html","home","200","29","60","9","22","18","22","9","35","23","7","16","8"
"191871.html","away","200","21","45","3","12","17","22","1","27","12","7","13","9"
"191871.html","home","200","23","68","6","25","7","8","11","24","21","4","13","7"
"191872.html","away","200","22","52","7","22","9","13","6","26","14","8","15","3"
"191872.html","home","200","19","62","5","28","7","10","13","22","15","10","16","1"
"191873.html","away","200","19","53","11","28","23","29","8","26","19","0","5","2"
"191873.html","home","200","20","53","7","23","18","22","8","24","21","2","8","2"
"191874.html","away","200","26","57","6","20","13","14","8","25","25","5","18","2"
"191874.html","home","200","22","55","7","22","24","29","7","22","18","8","14","3"
"191875.html","away","200","21","56","4","18","12","20","8","17","17","6","18","2"
"191875.html","home","200","27","54","7","26","10","11","7","28","20","8","23","6"
"191876.html","away","225","29","70","13","38","11","18","9","34","19","2","9","3"
"191876.html","home","225","26","65","6","24","18","23","7","35","18","6","10","2"
"191877.html","away","200","26","53","5","15","25","33","7","17","26","6","12","1"
"191877.html","home","200","24","48","10","25","30","36","6","19","27","5","17","1"
"191878.html","away","200","24","58","12","27","4","5","5","17","21","5","7","2"
"191878.html","home","200","26","42","3","9","13","20","3","28","12","2","13","1"
"191879.html","away","200","21","46","5","19","15","19","6","20","20","5","13","0"
"191879.html","home","200","30","53","7","17","12","18","9","20","15","7","7","1"
"191880.html","away","200","27","54","2","15","16","22","7","26","15","3","12","3"
"191880.html","home","200","24","61","3","16","15","20","9","23","20","5","8","0"
"191881.html","away","200","24","49","10","23","16","18","6","30","15","5","16","3"
"191881.html","home","200","19","58","4","22","14","20","10","19","20","8","13","2"
"191882.html","away","200","23","59","4","15","15","20","12","28","17","9","13","5"
"191882.html","home","200","20","57","3","15","11","15","8","21","17","6","14","6"
"191883.html","away","200","21","58","6","25","18","22","13","20","23","5","17","2"
"191883.html","home","200","27","60","13","30","16","24","14","20","21","8","12","3"
"191884.html","away","200","20","64","8","35","17","21","11","19","31","9","12","0"
"191884.html","home","200","21","40","2","14","34","46","2","32","20","3","15","2"
"191885.html","away","200","13","58","4","15","19","23","8","28","17","7","17","5"
"191885.html","home","200","28","63","13","30","5","13","7","35","22","7","17","8"
"191886.html","away","200","27","60","4","16","14","18","6","30","17","5","12","1"
"191886.html","home","200","30","59","10","28","15","23","6","27","14","9","9","4"
"191887.html","away","200","30","56","6","23","13","16","5","23","14","3","7","5"
"191887.html","home","200","28","61","9","23","8","11","4","22","17","3","6","0"
"191888.html","away","200","26","57","7","23","12","18","7","25","27","4","13","4"
"191888.html","home","200","20","47","4","13","28","32","4","26","22","4","14","2"
"191889.html","away","200","22","49","2","11","9","15","4","16","18","6","10","2"
"191889.html","home","200","24","56","7","24","12","15","11","27","15","4","13","4"
"191890.html","away","225","34","80","4","18","26","34","13","27","27","12","11","2"
"191890.html","home","225","36","69","3","12","21","38","11","34","27","8","18","5"
"191891.html","away","200","29","55","3","12","20","24","8","31","22","6","16","3"
"191891.html","home","200","23","61","9","34","12","20","7","18","21","11","10","1"
"191892.html","away","200","31","74","11","31","9","11","16","20","21","1","5","3"
"191892.html","home","200","35","58","13","28","11","16","3","26","14","2","8","3"
"191893.html","away","225","38","72","8","25","21","30","9","26","19","6","13","3"
"191893.html","home","225","39","79","7","26","17","21","13","28","24","7","14","3"
"191894.html","away","200","28","66","5","25","11","14","9","24","17","7","12","2"
"191894.html","home","200","35","72","11","28","15","17","9","28","17","11","8","2"
"191895.html","away","200","24","58","12","21","14","17","6","17","27","4","10","2"
"191895.html","home","200","20","41","11","21","30","40","4","24","17","4","9","3"
"191896.html","away","200","24","51","5","17","17","22","9","23","29","4","15","3"
"191896.html","home","200","25","59","8","26","20","33","15","14","20","5","9","3"
"191897.html","away","200","22","58","9","31","10","18","9","18","17","11","16","3"
"191897.html","home","200","24","53","6","23","19","20","7","27","14","11","16","9"
"191898.html","away","200","25","56","10","28","9","10","6","24","13","5","12","3"
"191898.html","home","200","27","63","2","17","4","6","12","22","14","4","10","3"
"191899.html","away","200","22","51","5","20","8","11","2","23","25","6","14","1"
"191899.html","home","200","26","52","10","24","13","23","7","28","15","5","10","0"
"191900.html","away","200","25","50","8","25","6","10","6","26","19","3","17","2"
"191900.html","home","200","26","54","3","11","15","20","5","18","18","14","8","3"
"191901.html","away","200","15","57","4","17","15","26","9","20","17","7","15","5"
"191901.html","home","200","31","60","15","32","7","13","9","34","24","7","15","5"
"191902.html","away","200","37","73","7","20","12","16","8","29","21","5","11","2"
"191902.html","home","200","27","65","2","18","23","31","11","25","16","6","13","3"
"191903.html","away","200","16","50","3","11","10","13","7","24","16","3","16","4"
"191903.html","home","200","24","53","5","18","7","10","2","26","20","10","9","4"
"191904.html","away","200","24","57","4","23","6","9","5","25","18","6","13","2"
"191904.html","home","200","24","55","5","19","11","17","6","26","13","7","8","1"
"191905.html","away","200","23","61","6","27","21","27","11","26","23","6","15","3"
"191905.html","home","200","22","56","7","21","24","30","7","21","20","8","11","9"
"191906.html","away","200","23","58","6","24","18","23","6","22","20","11","9","1"
"191906.html","home","200","28","53","5","14","19","25","6","30","19","4","16","8"
"191907.html","away","200","27","61","3","19","6","6","13","21","19","3","6","1"
"191907.html","home","200","24","54","3","13","8","13","10","18","11","3","9","1"
"191908.html","away","200","25","60","10","27","10","11","8","25","12","4","9","5"
"191908.html","home","200","29","60","8","23","10","14","8","26","12","8","7","2"
"191909.html","away","200","23","45","9","17","10","12","7","27","20","3","15","1"
"191909.html","home","200","15","59","6","23","16","18","15","12","17","6","9","3"
"191910.html","away","200","23","55","8","20","10","17","12","27","19","9","24","9"
"191910.html","home","200","21","67","8","25","16","20","14","24","17","12","16","5"
"191911.html","away","200","25","59","4","14","7","8","15","19","20","4","12","0"
"191911.html","home","200","20","46","3","11","21","25","7","18","12","3","10","2"
"191912.html","away","225","25","67","6","24","19","25","17","27","18","5","15","3"
"191912.html","home","225","29","65","6","13","15","20","9","22","24","9","12","5"
"191913.html","away","200","31","59","11","16","14","22","9","17","23","4","7","2"
"191913.html","home","200","25","55","5","19","26","34","14","22","20","2","12","1"
"191914.html","away","200","22","55","7","23","2","4","7","21","17","8","11","1"
"191914.html","home","200","23","51","5","18","12","13","6","24","7","6","11","3"
"191915.html","away","200","23","60","4","20","7","8","8","22","18","9","10","2"
"191915.html","home","200","22","51","11","24","21","28","9","26","11","3","12","4"
"191916.html","away","225","27","66","9","25","8","12","10","26","22","6","12","11"
"191916.html","home","225","24","66","11","26","13","21","12","24","15","6","14","11"
"191917.html","away","200","18","49","6","19","15","16","9","21","16","5","13","4"
"191917.html","home","200","24","58","12","32","10","12","10","18","16","7","8","5"
"191918.html","away","200","27","58","7","21","14","19","9","15","22","7","9","0"
"191918.html","home","200","25","45","12","21","21","30","6","24","21","7","15","6"
"191919.html","away","200","25","56","6","16","25","34","9","28","23","11","19","4"
"191919.html","home","200","21","58","7","23","20","27","8","22","24","10","17","5"
"191920.html","away","200","27","47","10","19","14","21","7","22","18","6","12","0"
"191920.html","home","200","18","50","4","16","14","16","8","11","16","3","11","1"
"191921.html","away","200","24","56","5","19","12","22","3","18","19","15","8","6"
"191921.html","home","200","19","45","11","24","14","19","8","27","19","2","25","4"
"191922.html","away","200","18","54","8","31","14","18","3","15","8","12","10","1"
"191922.html","home","200","30","55","10","24","3","6","8","28","13","5","19","2"
"191923.html","away","200","21","44","5","14","20","27","9","15","18","9","21","4"
"191923.html","home","200","29","56","2","14","9","14","10","17","22","13","19","1"
"191924.html","away","200","14","53","2","24","13","19","7","20","18","8","13","1"
"191924.html","home","200","29","58","7","21","11","16","11","31","18","6","9","6"
"191925.html","away","200","21","50","10","28","9","10","3","27","12","2","11","1"
"191925.html","home","200","20","56","9","34","8","9","5","24","13","6","9","3"
"191926.html","away","200","25","59","7","25","10","17","6","22","23","5","17","4"
"191926.html","home","200","23","60","9","24","24","28","12","27","19","8","13","3"
"191927.html","away","225","28","66","11","23","6","12","8","17","25","2","4","1"
"191927.html","home","225","26","57","4","20","21","34","16","28","13","1","11","6"
"191928.html","away","200","32","56","1","7","18","20","7","25","15","8","12","1"
"191928.html","home","200","26","63","11","36","8","13","13","16","16","7","12","3"
"191929.html","away","200","21","51","4","14","9","18","3","20","14","7","11","2"
"191929.html","home","200","27","64","16","34","16","20","18","30","15","7","10","2"
"191930.html","away","200","30","55","5","19","16","24","7","27","21","4","12","2"
"191930.html","home","200","27","63","13","35","10","17","10","23","25","4","11","1"
"191931.html","away","200","21","62","4","28","6","8","4","24","16","5","8","3"
"191931.html","home","200","23","55","7","22","13","20","6","36","11","6","12","3"
"191932.html","away","200","25","57","6","26","14","23","5","23","21","7","12","1"
"191932.html","home","200","30","63","4","15","16","25","12","27","18","4","14","4"
"191933.html","away","200","28","59","9","18","14","15","9","21","10","11","10","5"
"191933.html","home","200","26","60","4","21","7","7","10","19","16","5","14","6"
"191934.html","away","200","19","42","9","20","9","14","5","24","14","3","12","3"
"191934.html","home","200","22","52","7","18","6","11","2","19","15","6","6","3"
"191935.html","away","200","25","66","3","18","12","20","15","17","18","16","12","7"
"191935.html","home","200","23","51","7","17","17","22","9","27","17","6","21","5"
"191936.html","away","200","12","45","3","19","15","22","10","18","19","2","17","3"
"191936.html","home","200","32","53","13","22","11","22","7","20","18","13","5","7"
"191937.html","away","200","17","50","6","16","12","16","10","27","17","5","13","6"
"191937.html","home","200","18","59","3","17","6","11","12","24","19","5","13","6"
"191938.html","away","200","18","55","4","20","9","13","5","25","12","2","6","2"
"191938.html","home","200","27","61","18","39","7","9","7","33","14","4","4","2"
"191939.html","away","200","24","67","6","25","5","11","8","22","19","5","12","3"
"191939.html","home","200","24","52","5","17","21","27","5","31","17","6","12","1"
"191940.html","away","200","28","54","14","26","18","22","5","23","18","4","8","2"
"191940.html","home","200","28","61","4","17","16","25","9","18","21","6","7","2"
"191941.html","away","200","28","59","6","9","16","19","8","32","20","5","8","12"
"191941.html","home","200","22","59","11","28","9","17","6","23","19","3","6","4"
"191942.html","away","200","18","50","2","16","20","27","7","25","18","3","17","2"
"191942.html","home","200","28","59","8","21","19","24","8","24","19","7","7","3"
"191943.html","away","200","15","49","5","16","26","36","9","18","26","9","13","2"
"191943.html","home","200","26","53","6","16","24","30","10","28","26","7","11","6"
"191944.html","away","200","25","48","11","25","18","28","4","25","19","7","18","6"
"191944.html","home","200","25","64","3","18","21","27","10","20","21","11","15","2"
"191945.html","away","200","29","61","13","31","3","5","7","30","12","7","8","4"
"191945.html","home","200","22","60","6","28","6","8","7","21","6","4","10","3"
"191946.html","away","200","21","58","9","31","6","16","9","21","25","6","7","0"
"191946.html","home","200","22","50","6","21","15","25","11","34","18","3","12","2"
"191947.html","away","200","24","60","6","26","5","12","11","21","23","6","11","3"
"191947.html","home","200","18","41","8","23","19","27","6","25","13","4","14","2"
"191948.html","away","200","26","53","6","18","15","19","10","26","14","5","18","1"
"191948.html","home","200","22","53","14","30","12","19","9","17","21","12","17","1"
"191949.html","away","200","22","54","8","18","9","11","7","27","23","4","17","3"
"191949.html","home","214","26","61","5","22","20","27","7","29","16","12","9","2"
"191950.html","away","200","19","66","3","15","26","38","16","21","22","5","7","2"
"191950.html","home","200","27","54","5","19","22","26","6","34","28","4","12","4"
"191951.html","away","200","21","63","1","16","14","16","13","23","23","8","14","3"
"191951.html","home","200","23","54","9","23","19","22","8","25","16","6","12","5"
"191952.html","away","200","26","64","7","33","11","15","9","25","22","7","10","0"
"191952.html","home","200","25","52","7","23","15","22","5","27","14","4","17","2"
"191953.html","away","200","31","60","9","21","7","13","11","20","25","5","14","5"
"191953.html","home","200","25","53","3","12","29","34","9","20","15","4","10","3"
"191954.html","away","200","28","57","7","18","7","14","5","24","24","7","16","3"
"191954.html","home","200","22","60","5","18","20","25","13","23","16","10","13","1"
"191955.html","away","225","20","61","6","26","3","7","4","25","14","8","6","3"
"191955.html","home","225","19","51","5","20","7","11","4","32","12","5","13","5"
"191956.html","away","200","22","43","2","8","18","27","5","32","18","3","15","2"
"191956.html","home","200","20","56","7","22","12","22","9","16","22","9","11","1"
"191957.html","away","200","30","63","4","19","10","16","10","33","10","10","13","4"
"191957.html","home","200","17","57","9","31","4","6","3","24","14","8","17","1"
"191958.html","away","200","23","66","7","25","7","16","14","30","17","6","11","5"
"191958.html","home","200","21","58","10","22","14","16","4","33","16","9","11","2"
"191959.html","away","200","20","51","2","8","8","15","3","23","14","6","11","3"
"191959.html","home","200","18","54","6","25","7","11","11","27","18","6","16","1"
"191960.html","away","200","21","45","8","15","13","15","5","21","12","6","11","2"
"191960.html","home","200","25","55","6","19","3","3","7","18","14","7","10","2"
"191961.html","away","200","24","55","6","16","7","11","10","19","16","4","9","2"
"191961.html","home","200","25","53","8","21","8","13","6","19","16","4","7","5"
"191962.html","away","200","29","63","8","21","21","25","11","26","17","7","11","2"
"191962.html","home","200","29","69","7","31","17","20","13","24","19","4","13","4"
"191963.html","away","200","29","65","6","17","11","19","12","29","20","10","11","3"
"191963.html","home","200","18","52","3","24","20","26","7","24","16","7","19","4"
"191964.html","away","225","30","84","22","59","9","16","12","26","27","3","8","6"
"191964.html","home","225","31","74","7","31","26","39","19","37","21","7","9","8"
"191965.html","away","200","23","49","9","21","13","18","5","23","20","4","11","2"
"191965.html","home","200","22","51","10","26","18","21","7","23","14","4","10","2"
"191966.html","away","200","27","57","11","25","10","15","11","15","16","9","12","2"
"191966.html","home","200","28","51","9","17","14","16","9","17","17","6","12","3"
"191968.html","away","200","23","52","6","15","20","29","13","31","20","3","16","8"
"191968.html","home","200","23","58","7","23","14","22","6","16","22","11","9","6"
"191969.html","away","200","20","45","4","14","14","21","4","23","13","13","12","4"
"191969.html","home","200","19","60","4","17","7","11","15","23","16","7","19","3"
"191970.html","away","200","22","59","4","19","15","17","12","17","24","8","14","1"
"191970.html","home","200","19","43","8","22","25","30","7","20","19","4","16","3"
"191971.html","away","200","18","56","5","18","9","12","8","21","16","4","11","0"
"191971.html","home","200","27","53","6","23","14","16","5","28","13","3","9","6"
"191972.html","away","200","25","62","8","25","17","25","7","34","16","4","9","0"
"191972.html","home","200","22","61","9","38","17","22","9","29","21","3","5","3"
"191973.html","away","200","24","50","8","21","3","6","5","23","19","6","17","5"
"191973.html","home","200","20","55","6","20","14","20","13","21","15","9","12","6"
"191974.html","away","200","28","53","7","15","19","23","4","17","18","6","12","2"
"191974.html","home","200","31","62","9","20","18","21","10","20","22","4","11","2"
"191975.html","away","200","23","60","4","24","16","21","14","30","14","1","12","3"
"191975.html","home","200","27","60","7","16","8","11","5","24","15","7","6","0"
"191976.html","away","200","29","61","3","15","15","18","15","21","18","9","15","2"
"191976.html","home","200","28","55","7","16","18","23","5","15","19","11","12","4"
"191977.html","away","200","19","62","6","30","4","7","7","23","11","5","9","3"
"191977.html","home","200","27","61","8","21","3","5","10","34","14","7","14","1"
"191978.html","away","200","20","55","8","24","12","19","10","24","15","8","21","3"
"191978.html","home","200","28","61","5","15","9","13","9","27","17","9","17","3"
"191979.html","away","200","29","54","8","16","13","19","7","25","18","9","17","0"
"191979.html","home","200","23","55","7","27","17","26","10","20","20","11","16","2"
"191980.html","away","200","25","49","2","8","23","32","9","22","23","14","20","4"
"191980.html","home","200","21","49","7","19","18","23","5","20","30","6","23","3"
"191981.html","away","200","21","46","2","11","21","25","5","25","13","4","17","8"
"191981.html","home","200","30","65","8","22","1","4","7","19","18","8","10","3"
"191982.html","away","200","24","58","5","19","19","26","5","33","18","5","7","4"
"191982.html","home","200","25","64","6","18","12","17","6","29","19","5","7","4"
"191983.html","away","200","19","54","7","23","11","16","6","25","27","11","17","3"
"191983.html","home","200","21","48","5","18","23","34","7","28","14","11","14","6"
"191984.html","away","200","19","57","3","24","17","24","12","22","27","7","16","4"
"191984.html","home","200","20","46","4","14","20","28","5","21","22","10","18","4"
"191985.html","away","200","25","64","11","28","10","16","11","26","16","4","10","3"
"191985.html","home","200","24","60","9","31","15","21","8","28","14","5","5","3"
"191986.html","away","200","23","56","6","22","17","29","13","25","21","5","20","5"
"191986.html","home","200","27","59","9","21","17","27","9","23","23","12","11","7"
"191987.html","away","200","27","52","12","27","12","14","12","20","18","3","14","2"
"191987.html","home","200","20","47","6","23","15","23","5","11","17","5","11","1"
"191988.html","away","200","19","52","5","17","24","29","10","22","24","7","24","2"
"191988.html","home","200","29","58","8","20","15","25","6","22","25","11","13","6"
"191989.html","away","200","22","51","7","18","11","12","12","22","23","4","14","2"
"191989.html","home","200","17","43","6","19","18","26","8","17","17","5","13","1"
"191990.html","away","200","30","64","7","20","12","15","6","36","14","3","8","3"
"191990.html","home","200","19","59","5","21","11","15","5","25","14","0","10","5"
"191991.html","away","200","22","44","13","22","15","20","7","26","20","5","14","2"
"191991.html","home","200","15","48","4","14","18","28","10","16","17","6","10","1"
"191992.html","away","200","24","57","9","25","4","5","5","20","18","3","14","1"
"191992.html","home","200","31","65","11","24","17","20","11","26","11","8","6","2"
"191993.html","away","200","25","62","8","22","11","19","8","20","17","9","11","3"
"191993.html","home","200","28","50","5","13","12","18","3","30","22","7","19","6"
"191994.html","away","200","29","55","7","15","11","15","7","20","12","4","10","3"
"191994.html","home","200","27","67","9","22","9","10","14","19","12","3","8","3"
"191995.html","away","200","27","61","10","24","7","11","13","18","21","6","16","2"
"191995.html","home","200","28","47","11","20","6","13","4","20","19","6","16","4"
"191996.html","away","200","25","49","7","19","14","19","1","16","19","3","10","0"
"191996.html","home","200","28","54","10","28","15","22","9","23","18","6","8","2"
"191997.html","away","200","27","61","9","27","10","18","10","29","24","3","11","0"
"191997.html","home","200","28","65","6","19","19","25","12","27","18","6","6","2"
"191998.html","away","200","25","62","9","27","11","18","15","25","14","3","18","5"
"191998.html","home","200","28","56","7","21","11","18","4","20","16","10","9","7"
"192000.html","away","200","26","55","5","20","6","10","4","18","14","11","13","1"
"192000.html","home","200","29","53","7","18","11","12","6","27","14","8","17","2"
"192001.html","away","200","24","55","10","21","14","21","4","27","25","5","9","2"
"192001.html","home","200","26","55","6","21","19","27","5","31","20","2","7","8"
"192002.html","away","200","29","52","9","20","14","20","5","22","15","9","15","2"
"192002.html","home","200","26","52","15","34","8","11","3","18","19","5","15","4"
"192003.html","away","200","20","51","9","22","14","19","4","25","23","3","16","1"
