"box_file","home_away","minutes","fgm","fga","3pm","3pa","ftm","fta","dreb","oreb","pf","stl","tover","blk"
"189058.html","away","200","30","62","7","19","24","35","10","36","19","7","24","0"
"189058.html","home","200","28","74","10","39","18","24","10","26","28","11","14","3"
"189059.html","away","200","20","56","6","20","9","15","7","22","23","3","12","3"
"189059.html","home","200","25","56","3","18","21","28","8","32","15","6","10","1"
"189060.html","away","200","16","50","8","23","11","21","8","14","13","7","19","0"
"189060.html","home","200","39","67","13","29","6","9","13","29","18","10","13","2"
"189061.html","away","200","9","60","6","30","5","6","7","10","18","7","15","1"
"189061.html","home","200","38","67","7","23","10","14","14","41","9","5","16","5"
"189062.html","away","200","30","77","9","20","12","15","16","22","28","7","14","6"
"189062.html","home","200","26","62","6","31","28","32","9","19","14","7","16","5"
"189063.html","away","200","23","56","5","21","6","12","5","26","19","7","17","1"
"189063.html","home","200","29","60","4","23","14","24","10","29","15","10","11","2"
"189064.html","away","200","25","67","9","24","9","13","9","19","22","7","8","0"
"189064.html","home","200","31","58","4","12","14","24","11","26","15","4","13","7"
"189065.html","away","200","24","62","12","34","15","15","11","18","16","7","7","3"
"189065.html","home","200","29","60","8","22","8","16","16","22","16","2","12","5"
"189066.html","away","200","19","48","8","26","12","17","6","24","11","2","15","1"
"189066.html","home","200","29","62","7","12","7","9","8","23","17","7","9","1"
"189067.html","away","200","24","58","9","25","7","10","6","17","17","4","12","4"
"189067.html","home","200","32","62","7","21","13","15","6","26","15","10","6","5"
"189068.html","away","200","22","68","13","44","8","12","8","28","16","6","12","1"
"189068.html","home","200","27","70","9","26","13","17","15","37","14","5","10","2"
"189069.html","away","200","21","57","11","34","6","10","10","22","18","3","18","0"
"189069.html","home","200","29","69","3","15","13","18","18","25","16","7","10","3"
"189070.html","away","200","24","64","5","20","10","14","9","17","18","13","14","3"
"189070.html","home","200","33","65","6","17","6","12","16","28","17","5","17","7"
"189071.html","away","200","24","57","9","24","5","7","6","21","19","1","23","1"
"189071.html","home","200","36","68","12","27","18","26","7","24","9","18","3","1"
"189072.html","away","200","17","58","7","30","10","16","9","15","18","10","15","0"
"189072.html","home","200","29","47","7","20","8","16","7","30","18","8","20","4"
"189073.html","away","200","25","63","4","18","10","13","9","24","12","6","14","4"
"189073.html","home","200","30","71","11","34","10","12","11","24","13","5","11","5"
"189074.html","away","200","23","55","12","29","13","17","4","27","28","2","23","1"
"189074.html","home","200","38","66","3","12","20","33","6","27","13","11","7","1"
"189075.html","away","200","24","51","8","22","9","16","7","20","18","10","12","2"
"189075.html","home","200","20","55","3","19","10","15","12","19","21","4","16","2"
"189077.html","away","200","27","67","10","27","20","22","7","24","20","5","10","4"
"189077.html","home","200","31","71","12","23","16","21","10","29","18","4","10","6"
"189078.html","away","200","28","54","6","18","18","28","5","18","17","5","11","1"
"189078.html","home","200","35","67","11","21","15","18","13","26","23","4","13","0"
"189079.html","away","200","30","67","7","27","4","5","3","23","19","3","14","0"
"189079.html","home","200","37","76","5","27","16","24","17","28","6","8","8","8"
"189080.html","away","200","19","55","3","19","9","11","5","19","17","7","16","2"
"189080.html","home","200","31","57","13","29","10","14","7","29","13","5","16","8"
"189081.html","away","225","27","66","8","20","8","9","3","15","29","11","16","4"
